X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X
P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  X  X
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
X  P  0  P  X  X  0  X  X  X  X  X  0  X  P  P  P  P  P  P  P  0  X  X
X  P  0  P  X  X  0  X  X  X  X  X  0  X  X  X  X  X  X  X  X  0  X  X
X  P  0  P  X  X  0  X  X  X  X  X  0  X  X  X  X  X  X  X  X  0  X  X
X  P  0  P  X  X  0  X  X  X  X  X  0  X  P  P  P  P  P  P  P  0  P  X
X  P  0  P  X  X  0  X  X  X  X  X  0  0  0  0  0  0  0  0  0  0  P  X
X  P  0  P  X  X  0  X  X  X  X  X  0  X  P  P  P  P  P  P  P  0  P  X
X  P  0  P  X  X  0  X  X  X  X  X  0  X  X  X  X  X  X  X  X  0  P  X
X  P  0  P  X  X  0  X  X  X  X  X  0  X  X  X  X  X  X  X  X  0  P  X
X  P  0  P  X  X  0  X  X  X  X  X  0  X  X  X  X  X  X  X  X  0  P  X
X  P  0  0  0  0  0  X  X  X  X  X  0  X  P  P  P  P  P  P  P  0  P  X
X  X  P  P  P  P  P  X  X  X  X  P  0  0  0  0  0  0  0  0  0  0  P  X
X  X  X  X  X  X  X  X  X  X  X  X  0  P  P  P  P  P  P  P  P  P  X  X
X  X  X  X  X  X  X  X  X  X  X  X  0  X  X  X  X  X  X  X  X  X  X  X
